a,Unicode,Char,DevName,PostName,Set,UnicodeName,OTL,Comment
493,0x02C0,ˀ,glottalmodifier,uni02C0,PNWIL,MODIFIER LETTER GLOTTAL STOP,,
494,,,glottalmodifier.alt,uni02C0.alt,NA+,,"locl(CAY,ONO,SEE) / ss07",TQ-INAT p. 120 (angled form)
495,0x1DBF,ᶿ,thetamodifier,uni1DBF,PNWIL,MODIFIER LETTER SMALL THETA,,
496,0x02BB,ʻ,apostropheturnedmodifier,uni02BB,NA+,MODIFIER LETTER TURNED COMMA,,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
497,0x02BC,ʼ,apostrophemodifier,uni02BC,PNWIL,MODIFIER LETTER APOSTROPHE,,
498,0x02C8,ˈ,vlinemodifier,uni02C8,PNWIL,MODIFIER LETTER VERTICAL LINE,,
499,0x02BF,,halfringleftmodifier,uni02BF,NA+,MODIFER LETTER LEFT HALF RING,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/16
500,0x02BE,ʾ,halfringrightmodifier,uni02BE,PNWIL,MODIFER LETTER RIGHT HALF RING,,TQ-INAT p.126 Ktunaxa (Kutenai)
501,0xA789,꞉,colonmodifier,uniA789,PNWIL,MODIFIER COLON,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
502,0x078F,ꞏ,dotsinological,uni078F,NA+,LATIN LETTER SINOLOGICAL DOT,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/21
503,0x02D0,ː,longsign,uni02D0,PNWIL,MODIFIER LETTER TRIANGULAR COLON,,IPA form with triangular dots
504,,,longsign.alt,uni02D0.alt,PNWIL,,ss08,Variant form = round dots per colon
505,0x02D1,ˑ,halflongsign,uni02D1,PNWIL,MODIFIER LETTER HALF TRIANGULAR COLON,,IPA form with triangular dot
506,,,halflongsign.alt,uni02D1.alt,PNWIL,,ss08,Variant form = round dots per colon
507,0x203F,‿,undertie,uni203F,NA+,UNDERTIE,,TQ-INAT p.131
508,0x0026,&,ampersand,ampersand,Common,AMPERSAND,,
509,0x0300,̀,gravecomb,gravecomb,PNWIL+Euro,COMBINING GRAVE ACCENT,,
510,,,gravecomb.cap,gravecomb.cap,PNWIL+Euro,,,
511,0x0301,́,acutecomb,acutecomb,PNWIL+Euro,COMBINING ACUTE ACCENT,,
512,,,acutecomb.cap,acutecomb.cap,PNWIL+Euro,,,
513,0x0302,̂,circumflexcomb,uni0302,PNWIL+Euro,COMBINING CIRCUMFLEX ACCENT,,
514,,,circumflexcomb.cap,uni0302.cap,PNWIL+Euro,,,
515,0x030C,̌,caroncomb,uni030C,PNWIL+Euro,COMBINING CARON,,
516,,,caroncomb.cap,uni030C.cap,PNWIL+Euro,,,
517,,,caronSlovak,caronSlovak,Euro,,,Component ingredient
518,0x0303,̃,tildecomb,tildecomb,Euro,COMBINING TILDE,,
519,,,tildecomb.cap,tildecomb.cap,Euro,,,
520,0x0304,̄,macroncomb,uni0304,PNWIL+Euro,COMBINING MACRON,,
521,,,macroncomb.narrow,uni0304.narrow,PNWIL+Euro,,,Narrow mark for i
522,,,macroncomb.cap,uni0304.cap,PNWIL+Euro,,,
523,0x0306,̆,brevecomb,uni0306,Euro,COMBINING BREVE,,
524,,,brevecomb.narrow,uni0306.narrow,Euro,,,Narrow mark for i
525,,,brevecomb.cap,uni0306.cap,Euro,,,
526,0x0311,̑,breveinvertedcomb,uni0311,NA+,COMBINING INVERTED BREVE,,TQ-INAT p.105
527,,,breveinvertedcomb.narrow,uni0311.narrow,NA+,,,Narrow mark for i
528,,,breveinvertedcomb.cap,uni0311.cap,NA+,,,
529,0x0307,̇,dotaccentcomb,uni0307,Euro,COMBINING DOT ABOVE,,
530,,,dotaccentcomb.cap,uni0307.cap,Euro,,,
531,0x0308,̈,dieresiscomb,uni0308,PNWIL+Euro,COMBINING DIAERESIS,,
532,,,dieresiscomb.cap,uni0308.cap,PNWIL+Euro,,,
533,0x030B,̋,hungarumlautcomb,uni030B,Euro,COMBINING DOUBLE ACUTE ACCENT,,
534,,,hungarumlautcomb.cap,uni030B.cap,Euro,,,
535,0x030A,̊,ringcomb,uni030A,Euro,COMBINING RING ABOVE,,
536,,,ringcomb.cap,uni030A.cap,Euro,,,
537,0x0313,̓,commaabovecomb,uni0313,PNWIL,COMBINING COMMA ABOVE,,
538,,,commaabovecomb.cap,uni0313.cap,PNWIL,,,
539,0x0315,̕,commarightcomb,uni0315,PNWIL,COMBINING COMMA ABOVE RIGHT,,
540,,,commarightcomb.cap,uni0315.cap,PNWIL,,,
541,,,commarightcomb.spn,uni0315.spn,PNWIL,,,Default shaping via rclt
542,,,commarightcomb.spncap,uni0315.spncap,PNWIL,,,Default shaping via rclt
543,0x0312,̒,commaaccentturnedabovecomb,uni0312,Euro,COMBINING TURNED COMMA ABOVE,,Component ingredient for /gcommaaccent
544,,,commaaccentturnedabovecomb.cap,uni0312.cap,Euro,,,
545,0x0361,͡,breveinvertedtiecomb,uni0361,NA+,COMBINING DOUBLE INVERTED BREVE,,TQ-INAT p.106 Yupik (illustration incorrect; should span letters)
546,,,breveinvertedtiecomb.cap,uni0361.cap,NA+,,,
547,0x0340,̀,gravetonecomb,uni0340,NA+,COMBINING GRAVE TONE MARK,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/14
548,,,gravetonecomb.cap,uni0340.cap,NA+,,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/14
549,0x0341,́,acutetonecomb,uni0341,NA+,COMBINING ACUTE TONE MARK,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/14
550,,,acutetonecomb.cap,uni0341.cap,NA+,,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/14
551,0x0327,̧,cedillacomb,uni0327,Euro,COMBINING CEDILLA,,
552,0x0328,̨,ogonekcomb,uni0328,PNWIL+Euro,COMBINING OGONEK,,
553,,,ogonekcomb.alt,uni0328.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
554,,,ogonekcomb.alt2,uni0328.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
555,0x0326,̦,commaaccentcomb,uni0326,Euro,COMBINING COMMA BELOW,,
556,0x032D,̭,circumflexbelowcomb,uni032D,NA+,COMBINING CIRCUMFLEX BELOW,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/28
557,0x032F,̯,breveinvertedbelowcomb,uni032F,NA+,COMBINING INVERTED BREVE BELOW,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/28
558,0x0323,̣,dotbelowcomb,uni0323,PNWIL,COMBINING DOT BELOW,,
559,0x0325,̥,ringbelowcomb,uni0325,NA+,COMBINING RING BELOW,,TQ-INAT p.132
560,0x0320,̠,minusbelowcomb,uni0320,NA+,COMBINING MINUS SIGN BELOW,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/27
561,0x0329,̩,vlinebelowcomb,uni0329,NA+,COMBINING VERTICAL LINE BELOW,,TQ-INAT p.130
562,0x0331,̱,macronbelowcomb,uni0331,PNWIL,COMBINING MACRON BELOW,,
563,0x0332,̲,lowlinecomb,uni0332,PNWIL,COMBINING LOW LINE,,
564,,,lowlinecomb.N,uni0332.N,PNWIL,,,Narrow variant
565,,,lowlinecomb.M,uni0332.M,PNWIL,,,Medium variant
566,,,lowlinecomb.W,uni0332.W,PNWIL,,,Wide variant
567,,,lowlinecomb.connect,uni0332.connect,PNWIL,,,Not anchored; zero-width with line centered.
568,0x0335,̵,barcomb,uni0335,PNWIL,COMBINING SHORT STROKE OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
569,0x0334,̴,wavybarcomb,uni0334,PNWIL,COMBINING TILDE OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
570,0x0337,̷,slashcomb,uni0337,PNWIL,COMBINING SHORT SOLIDUS OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
571,0x0338,̸,longslashcomb,uni0338,PNWIL,COMBINING LONG SOLIDUS OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
572,0x0060,`,grave,grave,Common,GRAVE ACCENT,,
573,0x00B4,´,acute,acute,Common,ACUTE ACCENT,,
574,0x02C6,ˆ,circumflex,circumflex,Common,MODIFIER LETTER CIRCUMFLEX ACCENT,,
575,0x02DC,˜,tilde,tilde,Common,SMALL TILDE,,
576,0x00AF,¯,macron,macron,Common,MACRON,,
577,0x02D8,˘,breve,breve,Common,BREVE,,
578,0x00A8,¨,dieresis,dieresis,Common,DIAERESIS,,
579,0x00B8,¸,cedilla,cedilla,Common,CEDILLA,,
580,0x002C,",",comma,comma,Common,COMMA,,
581,0x003B,;,semicolon,semicolon,Common,SEMICOLON,,
582,0x003A,:,colon,colon,Common,COLON,,
583,0x002E,.,period,period,Common,FULL STOP,,
584,0x2026,…,ellipsis,ellipsis,Common,HORIZONTAL ELLIPSIS,,
585,0x0021,!,exclam,exclam,Common,EXCLAMATION MARK,,
586,0x00A1,¡,exclamdown,exclamdown,Common,INVERTED EXCLAMATION MARK,,
587,,,exclamdown.case,exclamdown.case,Common,,case,
588,0x003F,?,question,question,Common,QUESTION MARK,,
589,0x00BF,¿,questiondown,questiondown,Common,INVERTED QUESTION MARK,,
590,,,questiondown.case,questiondown.case,Common,,case,
591,0x002F,/,slash,slash,Common,SOLIDUS,,
592,0x005C,\,backslash,backslash,Common,REVERSE SOLIDUS,,
593,0x007C,|,bar,bar,Common,VERTICAL LINE,,
594,0x0028,(,parenleft,parenleft,Common,LEFT PARENTHESIS,,
595,0x0029,),parenright,parenright,Common,RIGHT PARENTHESIS,,
596,,,parenleft.case,parenleft.case,Common,,case,
597,,,parenright.case,parenright.case,Common,,case,
598,0x005B,[,bracketleft,bracketleft,Common,LEFT SQUARE BRACKET,,
599,0x005D,],bracketright,bracketright,Common,RIGHT SQUARE BRACKET,,
600,,,bracketleft.case,bracketleft.case,Common,,case,
601,,,bracketright.case,bracketright.case,Common,,case,
602,0x007B,{,braceleft,braceleft,Common,LEFT CURLY BRACKET,,
603,0x007D,},braceright,braceright,Common,RIGHT CURLY BRACKET,,
604,,,braceleft.case,braceleft.case,Common,,case,
605,,,braceright.case,braceright.case,Common,,case,
606,0x0027,',quotesingle,quotesingle,Common,APOSTROPHE,,
607,0x0022,"""",quotedbl,quotedbl,Common,QUOTATION MARK,,
608,0x002A,*,asterisk,asterisk,Common,ASTERISK,,
609,0x002D,-,hyphen,hyphen,Common,HYPHEN-MINUS,,
610,,,hyphen.case,hyphen.case,Common,,case,
611,0x00AD,­,softhyphen,uni00AD,Common,SOFT HYPHEN,,
612,0x2013,–,endash,endash,Common,EN DASH,,
613,,,endash.case,endash.case,Common,,case,
614,0x2014,—,emdash,emdash,Common,EM DASH,,
615,,,emdash.case,emdash.case,Common,,case,
616,0x2018,‘,quoteleft,quoteleft,Common,LEFT SINGLE QUOTATION MARK,,
617,0x2019,’,quoteright,quoteright,Common,RIGHT SINGLE QUOTATION MARK,,
618,0x201C,“,quotedblleft,quotedblleft,Common,LEFT DOUBLE QUOTATION MARK,,
619,0x201D,”,quotedblright,quotedblright,Common,RIGHT DOUBLE QUOTATION MARK,,
620,0x201A,‚,quotesinglbase,quotesinglbase,Common,SINGLE LOW-9 QUOTATION MARK,,
621,0x201E,„,quotedblbase,quotedblbase,Common,DOUBLE LOW-9 QUOTATION MARK,,
622,0x2039,‹,guilsinglleft,guilsinglleft,Common,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,,
623,0x203A,›,guilsinglright,guilsinglright,Common,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,,
624,,,guilsinglleft.case,guilsinglleft.case,Common,,case,
625,,,guilsinglright.case,guilsinglright.case,Common,,case,
626,0x00AB,«,guillemotleft,guillemotleft,Common,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,,
627,0x00BB,»,guillemotright,guillemotright,Common,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,,
628,,,guillemotleft.case,guillemotleft.case,Common,,case,
629,,,guillemotright.case,guillemotright.case,Common,,case,
630,0x2020,†,dagger,dagger,Common,DAGGER,,
631,0x2021,‡,daggerdbl,daggerdbl,Common,DOUBLE DAGGER,,
632,0x00B6,¶,paragraph,paragraph,Common,PILCROW SIGN,,
633,0x00A7,§,section,section,Common,SECTION SIGN,,
634,0x00B7,·,periodcentered,periodcentered,Common,MIDDLE DOT,,Occurs as spacing diacritic e.g. TQ-INAT p.100
635,,,periodcentered.case,periodcentered.case,Common,,case,
636,0x2022,•,bullet,bullet,Common,BULLET,,
637,0x005E,^,asciicircum,asciicircum,Common,CIRCUMFLEX ACCENT,,
638,0x007E,~,asciitilde,asciitilde,Common,TILDE,,
639,0x00A6,¦,brokenbar,brokenbar,Common,BROKEN BAR,,
640,0x005F,_,underscore,underscore,Common,LOW LINE,,
641,0x0040,@,at,at,Common,COMMERCIAL AT,,
642,0x00A9,©,copyright,copyright,Common,COPYRIGHT SIGN,,
643,0x2122,™,trademark,trademark,Common,TRADE MARK SIGN,,
644,0x00AE,®,registered,registered,Common,REGISTERED SIGN,,
645,0x00A4,¤,currency,currency,Common,CURRENCY SIGN,,
646,0x20AC,€,Euro,Euro,Common,EURO SIGN,,
647,0x0024,$,dollar,dollar,Common,DOLLAR SIGN,,
648,,,dollar.2,dollar.2,Common,,ss02,Feature variation form for heavier weights.
649,0x00A2,¢,cent,cent,Common,CENT SIGN,,Occurs in place of 0x023C in some alphabets; needs anchors.
650,,,cent.2,cent.2,Common,,ss02,Feature variation form for heavier weights.
651,0x00A3,£,sterling,sterling,Common,POUND SIGN,,
652,0x00A5,¥,yen,yen,Common,YEN SIGN,,
653,0x20AD,₭,kip,uni20AD,Common,KIP SIGN,,Used as letter in SENĆOŦEN alphabet (maybe should be variant form of U+0398)
654,0x2116,№,numero,uni2116,Common,NUMERO SIGN,,
655,0x0023,#,numbersign,numbersign,Common,NUMBER SIGN,,
656,0x0030,0,zero,zero,Common,DIGIT ZERO,,
657,0x0031,1,one,one,Common,DIGIT ONE,,
658,0x0032,2,two,two,Common,DIGIT TWO,,
659,0x0033,3,three,three,Common,DIGIT THREE,,Occurs as dental fricative in some alphabets (contextually substitute LP form in rclt)
660,0x0034,4,four,four,Common,DIGIT FOUR,,
661,0x0035,5,five,five,Common,DIGIT FIVE,,
662,0x0036,6,six,six,Common,DIGIT SIX,,
663,0x0037,7,seven,seven,Common,DIGIT SEVEN,,Occurs as glottalstop in some alphabets (contextually substitute LP form in rclt)
664,0x0038,8,eight,eight,Common,DIGIT EIGHT,,
665,0x0039,9,nine,nine,Common,DIGIT NINE,,
666,,,zero.LP,zero.LP,Common,,pnum,
667,,,one.LP,one.LP,Common,,pnum,
668,,,two.LP,two.LP,Common,,pnum,
669,,,three.LP,three.LP,Common,,pnum / rclt,
670,,,four.LP,four.LP,Common,,pnum,
671,,,five.LP,five.LP,Common,,pnum,
672,,,six.LP,six.LP,Common,,pnum,
673,,,seven.LP,seven.LP,Common,,pnum / rclt,
674,,,eight.LP,eight.LP,Common,,pnum,
675,,,nine.LP,nine.LP,Common,,pnum,
676,0x2070,⁰,zerosuperior,zerosuperior,Common,SUPERSCRIPT ZERO,sups,
677,0x00B9,¹,onesuperior,onesuperior,Common,SUPERSCRIPT ONE,sups,
678,0x00B2,²,twosuperior,twosuperior,Common,SUPERSCRIPT TWO,sups,
679,0x00B3,³,threesuperior,threesuperior,Common,SUPERSCRIPT THREE,sups,
680,0x2074,⁴,foursuperior,foursuperior,Common,SUPERSCRIPT FOUR,sups,
681,0x2075,⁵,fivesuperior,fivesuperior,Common,SUPERSCRIPT FIVE,sups,
682,0x2076,⁶,sixsuperior,sixsuperior,Common,SUPERSCRIPT SIX,sups,
683,0x2077,⁷,sevensuperior,sevensuperior,Common,SUPERSCRIPT SEVEN,sups,
684,0x2078,⁸,eightsuperior,eightsuperior,Common,SUPERSCRIPT EIGHT,sups,
685,0x2079,⁹,ninesuperior,ninesuperior,Common,SUPERSCRIPT NINE,sups,
686,0x2080,₀,zeroinferior,zeroinferior,Common,SUBSCRIPT ZERO,subs,
687,0x2081,₁,oneinferior,oneinferior,Common,SUBSCRIPT ONE,subs,
688,0x2082,₂,twoinferior,twoinferior,Common,SUBSCRIPT TWO,subs,
689,0x2083,₃,threeinferior,threeinferior,Common,SUBSCRIPT THREE,subs,
690,0x2084,₄,fourinferior,fourinferior,Common,SUBSCRIPT FOUR,subs,
691,0x2085,₅,fiveinferior,fiveinferior,Common,SUBSCRIPT FIVE,subs,
692,0x2086,₆,sixinferior,sixinferior,Common,SUBSCRIPT SIX,subs,
693,0x2087,₇,seveninferior,seveninferior,Common,SUBSCRIPT SEVEN,subs,
694,0x2088,₈,eightinferior,eightinferior,Common,SUBSCRIPT EIGHT,subs,
695,0x2089,₉,nineinferior,nineinferior,Common,SUBSCRIPT NINE,subs,
696,0x2044,⁄,fraction,fraction,Common,FRACTION SLASH,,
697,,,zero.numr,zero.numr,Common,,frac / numr,
698,,,one.numr,one.numr,Common,,frac / numr,
699,,,two.numr,two.numr,Common,,frac / numr,
700,,,three.numr,three.numr,Common,,frac / numr,
701,,,four.numr,four.numr,Common,,frac / numr,
702,,,five.numr,five.numr,Common,,frac / numr,
703,,,six.numr,six.numr,Common,,frac / numr,
704,,,seven.numr,seven.numr,Common,,frac / numr,
705,,,eight.numr,eight.numr,Common,,frac / numr,
706,,,nine.numr,nine.numr,Common,,frac / numr,
707,,,zero.dnom,zero.dnom,Common,,frac / dnom,
708,,,one.dnom,one.dnom,Common,,frac / dnom,
709,,,two.dnom,two.dnom,Common,,frac / dnom,
710,,,three.dnom,three.dnom,Common,,frac / dnom,
711,,,four.dnom,four.dnom,Common,,frac / dnom,
712,,,five.dnom,five.dnom,Common,,frac / dnom,
713,,,six.dnom,six.dnom,Common,,frac / dnom,
714,,,seven.dnom,seven.dnom,Common,,frac / dnom,
715,,,eight.dnom,eight.dnom,Common,,frac / dnom,
716,,,nine.dnom,nine.dnom,Common,,frac / dnom,
717,0x00BC,¼,onequarter,onequarter,Common,VULGAR FRACTION ONE QUARTER,,
718,0x00BD,½,onehalf,onehalf,Common,VULGAR FRACTION ONE HALF,,
719,0x00BE,¾,threequarters,threequarters,Common,VULGAR FRACTION THREE QUARTERS,,
720,0x0025,%,percent,percent,Common,PERCENT SIGN,,
721,0x2030,‰,perthousand,perthousand,Common,PER MILLE SIGN,,
722,0x002B,+,plus,plus,Common,PLUS SIGN,,
723,0x2212,−,minus,uni2212,Common,MINUS SIGN,,
724,0x00B1,±,plusminus,plusminus,Common,PLUS-MINUS SIGN,,
725,0x00D7,×,multiply,multiply,Common,MULTIPLICATION SIGN,,
726,0x00F7,÷,divide,divide,Common,DIVISION SIGN,,
727,0x003D,=,equal,equal,Common,EQUALS SIGN,,
728,0x003C,<,less,less,Common,LESS-THAN SIGN,,
729,0x003E,>,greater,greater,Common,GREATER-THAN SIGN,,
730,0x00AC,¬,logicalnot,logicalnot,Common,NOT SIGN,,
731,0x00AA,ª,ordfeminine,ordfeminine,Common,FEMININE ORDINAL INDICATOR,,
732,0x00BA,º,ordmasculine,ordmasculine,Common,MASCULINE ORDINAL INDICATOR,,
733,0x00B0,°,degree,degree,Common,DEGREE SIGN,,
734,0x00B5,µ,micro,uni00B5,Common,MICRO SIGN,,
735,0x25CC,◌,BASE,uni25CC,Common,DOTTED CIRCLE,,
