Unicode,,DevName,PostName,Set,UnicodeName,OTL,Comment
,,ogonekcomb.alt,uni0328.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
,,ogonekcomb.alt2,uni0328.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
0x0326,̦,commaaccentcomb,uni0326,Euro,COMBINING COMMA BELOW,,
0x0323,̣,dotbelowcomb,uni0323,PNWIL,COMBINING DOT BELOW,,
0x0325,̥,ringbelowcomb,uni0325,NA+,COMBINING RING BELOW,,TQ-INAT p.132
0x0329,̩,vlinebelowcomb,uni0329,NA+,COMBINING VERTICAL LINE BELOW,,TQ-INAT p.130
0x0331,̱,macronbelowcomb,uni0331,PNWIL,COMBINING MACRON BELOW,,
0x0332,̲,lowlinecomb,uni0332,PNWIL,COMBINING LOW LINE,,
,,lowlinecomb.N,uni0332.N,PNWIL,,,Narrow variant
,,lowlinecomb.M,uni0332.M,PNWIL,,,Medium variant
,,lowlinecomb.W,uni0332.W,PNWIL,,,Wide variant
,,lowlinecomb.connect,uni0332.connect,PNWIL,,,Not anchored; zero-width with line centered.
0x0335,̵,barcomb,uni0335,PNWIL,COMBINING SHORT STROKE OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
0x0334,̴,wavybarcomb,uni0334,PNWIL,COMBINING TILDE OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
0x0337,̷,slashcomb,uni0337,PNWIL,COMBINING SHORT SOLIDUS OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
0x0338,̸,longslashcomb,uni0338,PNWIL,COMBINING LONG SOLIDUS OVERLAY,,Compatibility encoding; map to precomposed diacritics in ccmp
0x0060,`,grave,grave,Common,GRAVE ACCENT,,
0x00B4,´,acute,acute,Common,ACUTE ACCENT,,
0x02C6,ˆ,circumflex,circumflex,Common,MODIFIER LETTER CIRCUMFLEX ACCENT,,
0x02DC,˜,tilde,tilde,Common,SMALL TILDE,,
0x00AF,¯,macron,macron,Common,MACRON,,
0x02D8,˘,breve,breve,Common,BREVE,,
0x00A8,¨,dieresis,dieresis,Common,DIAERESIS,,
0x00B8,¸,cedilla,cedilla,Common,CEDILLA,,
0x002C,",",comma,comma,Common,COMMA,,
0x003B,;,semicolon,semicolon,Common,SEMICOLON,,
0x003A,:,colon,colon,Common,COLON,,
0x002E,.,period,period,Common,FULL STOP,,
0x2026,…,ellipsis,ellipsis,Common,HORIZONTAL ELLIPSIS,,
0x0021,!,exclam,exclam,Common,EXCLAMATION MARK,,
0x00A1,¡,exclamdown,exclamdown,Common,INVERTED EXCLAMATION MARK,,
,,exclamdown.case,exclamdown.case,Common,,case,
0x003F,?,question,question,Common,QUESTION MARK,,
0x00BF,¿,questiondown,questiondown,Common,INVERTED QUESTION MARK,,
,,questiondown.case,questiondown.case,Common,,case,
0x002F,/,slash,slash,Common,SOLIDUS,,
0x005C,\,backslash,backslash,Common,REVERSE SOLIDUS,,
0x007C,|,bar,bar,Common,VERTICAL LINE,,
0x0028,(,parenleft,parenleft,Common,LEFT PARENTHESIS,,
0x0029,),parenright,parenright,Common,RIGHT PARENTHESIS,,
,,parenleft.case,parenleft.case,Common,,case,
,,parenright.case,parenright.case,Common,,case,
0x005B,[,bracketleft,bracketleft,Common,LEFT SQUARE BRACKET,,
0x005D,],bracketright,bracketright,Common,RIGHT SQUARE BRACKET,,
,,bracketleft.case,bracketleft.case,Common,,case,
,,bracketright.case,bracketright.case,Common,,case,
0x007B,{,braceleft,braceleft,Common,LEFT CURLY BRACKET,,
0x007D,},braceright,braceright,Common,RIGHT CURLY BRACKET,,
,,braceleft.case,braceleft.case,Common,,case,
,,braceright.case,braceright.case,Common,,case,
0x0027,',quotesingle,quotesingle,Common,APOSTROPHE,,
0x0022,"""",quotedbl,quotedbl,Common,QUOTATION MARK,,
0x002A,*,asterisk,asterisk,Common,ASTERISK,,
0x002D,-,hyphen,hyphen,Common,HYPHEN-MINUS,,
,,hyphen.case,hyphen.case,Common,,case,
0x00AD,­,softhyphen,uni00AD,Common,SOFT HYPHEN,,
0x2013,–,endash,endash,Common,EN DASH,,
,,endash.case,endash.case,Common,,case,
0x2014,—,emdash,emdash,Common,EM DASH,,
,,emdash.case,emdash.case,Common,,case,
0x2018,‘,quoteleft,quoteleft,Common,LEFT SINGLE QUOTATION MARK,,
0x2019,’,quoteright,quoteright,Common,RIGHT SINGLE QUOTATION MARK,,
0x201C,“,quotedblleft,quotedblleft,Common,LEFT DOUBLE QUOTATION MARK,,
0x201D,”,quotedblright,quotedblright,Common,RIGHT DOUBLE QUOTATION MARK,,
0x201A,‚,quotesinglbase,quotesinglbase,Common,SINGLE LOW-9 QUOTATION MARK,,
0x201E,„,quotedblbase,quotedblbase,Common,DOUBLE LOW-9 QUOTATION MARK,,
0x2039,‹,guilsinglleft,guilsinglleft,Common,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,,
0x203A,›,guilsinglright,guilsinglright,Common,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,,
,,guilsinglleft.case,guilsinglleft.case,Common,,case,
,,guilsinglright.case,guilsinglright.case,Common,,case,
0x00AB,«,guillemotleft,guillemotleft,Common,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,,
0x00BB,»,guillemotright,guillemotright,Common,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,,
,,guillemotleft.case,guillemotleft.case,Common,,case,
,,guillemotright.case,guillemotright.case,Common,,case,
0x2020,†,dagger,dagger,Common,DAGGER,,
0x2021,‡,daggerdbl,daggerdbl,Common,DOUBLE DAGGER,,
0x00B6,¶,paragraph,paragraph,Common,PILCROW SIGN,,
0x00A7,§,section,section,Common,SECTION SIGN,,
0x00B7,·,periodcentered,periodcentered,Common,MIDDLE DOT,,Occurs as spacing diacritic e.g. TQ-INAT p.100
,,periodcentered.case,periodcentered.case,Common,,case,
0x2022,•,bullet,bullet,Common,BULLET,,
0x005E,^,asciicircum,asciicircum,Common,CIRCUMFLEX ACCENT,,
0x007E,~,asciitilde,asciitilde,Common,TILDE,,
0x00A6,¦,brokenbar,brokenbar,Common,BROKEN BAR,,
0x005F,_,underscore,underscore,Common,LOW LINE,,
0x0040,@,at,at,Common,COMMERCIAL AT,,
0x00A9,©,copyright,copyright,Common,COPYRIGHT SIGN,,
0x2122,™,trademark,trademark,Common,TRADE MARK SIGN,,
0x00AE,®,registered,registered,Common,REGISTERED SIGN,,
0x00A4,¤,currency,currency,Common,CURRENCY SIGN,,
0x20AC,€,Euro,Euro,Common,EURO SIGN,,
0x0024,$,dollar,dollar,Common,DOLLAR SIGN,,
,,dollar.2,dollar.2,Common,,ss02,Feature variation form for heavier weights.
0x00A2,¢,cent,cent,Common,CENT SIGN,,Occurs in place of 0x023C in some alphabets; needs anchors.
0x00A3,£,sterling,sterling,Common,POUND SIGN,,
0x00A5,¥,yen,yen,Common,YEN SIGN,,
0x20AD,₭,kip,uni20AD,Common,KIP SIGN,,Used as letter in SENĆOŦEN alphabet (maybe should be variant form of U+0398)
0x2116,№,numero,uni2116,Common,NUMERO SIGN,,
0x0023,#,numbersign,numbersign,Common,NUMBER SIGN,,
0x0030,0,zero,zero,Common,DIGIT ZERO,,
0x0031,1,one,one,Common,DIGIT ONE,,
0x0032,2,two,two,Common,DIGIT TWO,,
0x0033,3,three,three,Common,DIGIT THREE,,Occurs as dental fricative in some alphabets (contextually substitute LP form in rclt)
0x0034,4,four,four,Common,DIGIT FOUR,,
0x0035,5,five,five,Common,DIGIT FIVE,,
0x0036,6,six,six,Common,DIGIT SIX,,
0x0037,7,seven,seven,Common,DIGIT SEVEN,,Occurs as glottalstop in some alphabets (contextually substitute LP form in rclt)
0x0038,8,eight,eight,Common,DIGIT EIGHT,,
0x0039,9,nine,nine,Common,DIGIT NINE,,
,,zero.LP,zero.LP,Common,,pnum,
,,one.LP,one.LP,Common,,pnum,
,,two.LP,two.LP,Common,,pnum,
,,three.LP,three.LP,Common,,pnum / rclt,
,,four.LP,four.LP,Common,,pnum,
,,five.LP,five.LP,Common,,pnum,
,,six.LP,six.LP,Common,,pnum,
,,seven.LP,seven.LP,Common,,pnum / rclt,
,,eight.LP,eight.LP,Common,,pnum,
,,nine.LP,nine.LP,Common,,pnum,
0x2070,⁰,zerosuperior,zerosuperior,Common,SUPERSCRIPT ZERO,sups,
0x00B9,¹,onesuperior,onesuperior,Common,SUPERSCRIPT ONE,sups,
0x00B2,²,twosuperior,twosuperior,Common,SUPERSCRIPT TWO,sups,
0x00B3,³,threesuperior,threesuperior,Common,SUPERSCRIPT THREE,sups,
0x2074,⁴,foursuperior,foursuperior,Common,SUPERSCRIPT FOUR,sups,
0x2075,⁵,fivesuperior,fivesuperior,Common,SUPERSCRIPT FIVE,sups,
0x2076,⁶,sixsuperior,sixsuperior,Common,SUPERSCRIPT SIX,sups,
0x2077,⁷,sevensuperior,sevensuperior,Common,SUPERSCRIPT SEVEN,sups,
0x2078,⁸,eightsuperior,eightsuperior,Common,SUPERSCRIPT EIGHT,sups,
0x2079,⁹,ninesuperior,ninesuperior,Common,SUPERSCRIPT NINE,sups,
0x2080,₀,zeroinferior,zeroinferior,Common,SUBSCRIPT ZERO,subs,
0x2081,₁,oneinferior,oneinferior,Common,SUBSCRIPT ONE,subs,
0x2082,₂,twoinferior,twoinferior,Common,SUBSCRIPT TWO,subs,
0x2083,₃,threeinferior,threeinferior,Common,SUBSCRIPT THREE,subs,
0x2084,₄,fourinferior,fourinferior,Common,SUBSCRIPT FOUR,subs,
0x2085,₅,fiveinferior,fiveinferior,Common,SUBSCRIPT FIVE,subs,
0x2086,₆,sixinferior,sixinferior,Common,SUBSCRIPT SIX,subs,
0x2087,₇,seveninferior,seveninferior,Common,SUBSCRIPT SEVEN,subs,
0x2088,₈,eightinferior,eightinferior,Common,SUBSCRIPT EIGHT,subs,
0x2089,₉,nineinferior,nineinferior,Common,SUBSCRIPT NINE,subs,
0x2044,⁄,fraction,fraction,Common,FRACTION SLASH,,
,,zero.numr,zero.numr,Common,,frac / numr,
,,one.numr,one.numr,Common,,frac / numr,
,,two.numr,two.numr,Common,,frac / numr,
,,three.numr,three.numr,Common,,frac / numr,
,,four.numr,four.numr,Common,,frac / numr,
,,five.numr,five.numr,Common,,frac / numr,
,,six.numr,six.numr,Common,,frac / numr,
,,seven.numr,seven.numr,Common,,frac / numr,
,,eight.numr,eight.numr,Common,,frac / numr,
,,nine.numr,nine.numr,Common,,frac / numr,
,,zero.dnom,zero.dnom,Common,,frac / dnom,
,,one.dnom,one.dnom,Common,,frac / dnom,
,,two.dnom,two.dnom,Common,,frac / dnom,
,,three.dnom,three.dnom,Common,,frac / dnom,
,,four.dnom,four.dnom,Common,,frac / dnom,
,,five.dnom,five.dnom,Common,,frac / dnom,
,,six.dnom,six.dnom,Common,,frac / dnom,
,,seven.dnom,seven.dnom,Common,,frac / dnom,
,,eight.dnom,eight.dnom,Common,,frac / dnom,
,,nine.dnom,nine.dnom,Common,,frac / dnom,
0x00BC,¼,onequarter,onequarter,Common,VULGAR FRACTION ONE QUARTER,,
0x00BD,½,onehalf,onehalf,Common,VULGAR FRACTION ONE HALF,,
0x00BE,¾,threequarters,threequarters,Common,VULGAR FRACTION THREE QUARTERS,,
0x0025,%,percent,percent,Common,PERCENT SIGN,,
0x2030,‰,perthousand,perthousand,Common,PER MILLE SIGN,,
0x002B,+,plus,plus,Common,PLUS SIGN,,
0x2212,−,minus,uni2212,Common,MINUS SIGN,,
0x00B1,±,plusminus,plusminus,Common,PLUS-MINUS SIGN,,
0x00D7,×,multiply,multiply,Common,MULTIPLICATION SIGN,,
0x00F7,÷,divide,divide,Common,DIVISION SIGN,,
0x003D,=,equal,equal,Common,EQUALS SIGN,,
0x003C,<,less,less,Common,LESS-THAN SIGN,,
0x003E,>,greater,greater,Common,GREATER-THAN SIGN,,
0x00AC,¬,logicalnot,logicalnot,Common,NOT SIGN,,
0x00AA,ª,ordfeminine,ordfeminine,Common,FEMININE ORDINAL INDICATOR,,
0x00BA,º,ordmasculine,ordmasculine,Common,MASCULINE ORDINAL INDICATOR,,
0x00B0,°,degree,degree,Common,DEGREE SIGN,,
0x00B5,µ,micro,uni00B5,Common,MICRO SIGN,,
0x25CC,◌,BASE,uni25CC,Common,DOTTED CIRCLE,,
